pair_number,id1,id2,date1,date2,temporal_baseline_days,overlap_percentage,polarisation,mode,look_angle1,look_angle2,angle_difference
1,c5418633-8abd-4f2a-a79a-9b696cf8aa0d,6870110c-0e00-4310-b6dc-8d8da1f29909,2025-03-27 00:56:33.582087+01:00,2025-04-04 22:46:45.486733+02:00,8.909860007476851,N/A,HH,spotlight,48.2,48.2,0.0
2,4155a4ab-cd13-44a8-bafa-2be776fa6a32,c5bcc0cc-2abd-471b-891a-fe98268f3c1e,2025-05-06 17:18:29.216925+02:00,2025-05-15 14:08:41.464849+02:00,8.868197313935186,N/A,HH,stripmap,40.4,40.4,0.0
3,9ec6b358-4bdd-4517-9b36-461de4b6e785,b289b5a6-bfe5-4906-8ceb-67cc394df509,2025-05-05 06:47:13.825413+02:00,2025-05-17 02:34:10.255458+02:00,11.824264236631945,N/A,HH,stripmap,41.0,41.0,0.0
4,dd7ec1d8-101f-4344-a559-86187f38a219,1908dbfb-8fca-460b-88d9-7b3b41c21cd2,2025-05-09 16:15:13.217196+02:00,2025-05-18 13:05:24.344119+02:00,8.868184339386573,N/A,HH,stripmap,40.4,40.4,0.0
5,4155a4ab-cd13-44a8-bafa-2be776fa6a32,1908dbfb-8fca-460b-88d9-7b3b41c21cd2,2025-05-06 17:18:29.216925+02:00,2025-05-18 13:05:24.344119+02:00,11.824249157337963,N/A,HH,stripmap,40.4,40.4,0.0
6,237bb1df-d2d0-4c8c-8158-a455d7a3ed43,e2bcc7c2-22c1-4425-a8a6-df90fc5e9f64,2025-04-30 19:25:01.069252+02:00,2025-05-12 15:11:58.277147+02:00,11.824273239525462,N/A,HH,stripmap,40.4,40.4,0.0
7,5ca22936-660c-405d-90c3-bea983934735,50191462-79d0-4bc1-a243-c0667f09c670,2025-04-29 06:14:51.721239+02:00,2025-05-08 03:05:05.118335+02:00,8.868210614537038,N/A,HH,spotlight,26.5,26.5,0.0
8,33b4f224-54c3-4a50-8863-f67cc8171b78,68d0d23e-9e00-4f74-a21b-ed610313318b,2025-04-27 03:00:21.858111+02:00,2025-05-08 22:47:19.109282+02:00,11.824273740405092,N/A,HH,spotlight,33.6,33.6,0.0
9,29be9074-d317-46cc-9e8d-ecfb63180057,ea8e1b20-2185-45a1-8f17-b2d18cce4b53,2025-05-01 00:28:34.471690+02:00,2025-05-15 19:12:15.171593+02:00,14.78033217480324,N/A,HH,spotlight,34.6,34.6,0.0
10,e35d7aa1-fd47-4531-bd59-0c639450c7f0,5ca22936-660c-405d-90c3-bea983934735,2025-04-20 09:24:40.085228+02:00,2025-04-29 06:14:51.721239+02:00,8.868190231608796,N/A,HH,spotlight,26.5,26.5,0.0
11,1c466f14-b0f9-4d99-a663-83c9c59a1000,fe8f4127-6c6a-4573-bf51-8b9c62c10713,2024-11-17 22:09:38.380352+01:00,2024-11-29 17:56:34.773763+01:00,11.824263812627315,N/A,HH,sliding_spotlight,22.4,22.4,0.0
12,ef7129a6-11eb-478c-b356-aa16823062a0,fa8e3197-8a87-41a0-af30-08675a229cc7,2024-11-22 21:21:37.191785+01:00,2024-12-01 18:11:50.014719+01:00,8.868203969143519,N/A,HH,spotlight,29.7,29.7,0.0
13,2f2cb082-e931-4ca0-9b2f-16316b355569,8b74671c-56c5-4a0c-b9d5-1916dba25202,2024-11-21 22:45:52.627477+01:00,2024-12-03 18:32:49.412197+01:00,11.824268341666667,N/A,HH,spotlight,23.3,23.3,0.0
14,6e977278-3d6a-4553-ae9b-9494c1602b5b,378b8486-b74f-4491-a9ad-e428113e2998,2024-11-08 02:29:58.110165+01:00,2024-11-22 21:13:40.612708+01:00,14.78035303869213,N/A,HH,spotlight,48.2,48.2,0.0
15,cc198492-449c-42ae-86ec-55f4e1329393,95d11d55-686a-4e4b-9f94-4e6632584af0,2022-05-18 06:19:34.871966+02:00,2022-06-01 06:19:59.451457+02:00,14.000284484849535,N/A,HH,stripmap,29.4,29.3,0.09999999999999787
16,34494155-c81d-4ca1-ae59-2bf98c46a81f,85ec0a9c-d370-41ae-a9c7-d73a34a78844,2025-03-14 13:03:55.196568+01:00,2025-03-26 08:50:51.595062+01:00,11.824263871458333,N/A,VV,spotlight,15.9,16.0,0.09999999999999964
17,e37af51e-f9f2-421a-9071-d8c32b5aef53,fdfaed9b-5a07-4925-9535-0bdbdd76bd1b,2025-02-03 07:31:47.595463+01:00,2025-02-15 03:18:44.167919+01:00,11.824265884907408,N/A,HH,spotlight,33.5,33.6,0.10000000000000142
18,db58b6a2-24c8-4d3d-9fb1-f61e9f8a07fc,6deeaa19-6c97-4576-9dcb-83a2d7b3eb36,2025-01-30 07:18:29.433749+01:00,2025-02-08 04:08:42.566591+01:00,8.868207556041666,N/A,HH,stripmap,33.0,33.1,0.10000000000000142
19,10c66a01-7efb-445e-9790-6c9a55ec03e5,dc69a78b-39d4-4fcc-b7bc-f7dd8ee9b08c,2025-01-16 02:33:35.375767+01:00,2025-01-24 23:23:48.158011+01:00,8.868203498194445,N/A,HH,spotlight,31.5,31.6,0.10000000000000142
20,d88e975d-b115-43c9-8ec6-972475afa5b4,c37f6bff-10fc-437e-a919-9efc0a39f17d,2024-03-18 21:54:32.448857+01:00,2024-03-30 17:17:30.330430+01:00,11.80761437005787,N/A,HH,spotlight,47.8,47.5,0.29999999999999716
